TIPO,Subcategoria,Numero,Comida,Precio,sin foto,pescado,molusco,marisco,cacahuete,apio,altramuces,mostaza,frutos secos,huevos,lacteos,sesamo,sulfitos,trigo,soja
,,,ENTRANTES,,,,,,,,,,,,,,,,
ENTRANTES,ENTRANTES,192,Goma wakame,5.50,,,,1,,,,,,,,1,,,
ENTRANTES,ENTRANTES,194,Sopa agri tradicional,5.50,,,,1,,,,,,,,,,,
ENTRANTES,ENTRANTES,195,Berenjena crujiente con salsa especial,5.90,,,,,,,,,,,,,,1,
ENTRANTES,ENTRANTES,2,Rollitos vegetales (4U),4.90,,,,,,,,,,,,,,1,
ENTRANTES,ENTRANTES,3,Rollitos de langostinos (4U),6.80,,,,1,,,,,,,,,,1,
ENTRANTES,ENTRANTES,4,Crépes de pato asado (3U),7.90,,,,1,,,,,,,,,,1,1
ENTRANTES,ENTRANTES,5,Huevos rotos trufados,7.90,,1,,,,,,,,1,,1,,,
ENTRANTES,ENTRANTES,6,Croquetas caseras (4U),5.90,,1,,1,,,,,,1,,,,1,
ENTRANTES,ENTRANTES,7,Tacos de cerdo desmenuzado (2U),7.95,,,,,,,,,,,,,,1,1
ENTRANTES,ENTRANTES,8,Tostas mexicanas (4U),8.90,,1,,,,,,,1,,,,,1,1
ENTRANTES,ENTRANTES,1,Rodajas de berenjena con bacalao,5.90,,1,,,,,,,,,,1,,,
,,,DEL HUERTO,,,,,,,,,,,,,,,,
PRINCIPALES,DEL HUERTO,9,Verdura variada salteada,7.50,,,,,,,,,,,,,,,
PRINCIPALES,DEL HUERTO,10,Setas y espárragos,7.50,,,,,,,,,,,,,,1,1
PRINCIPALES,,,DEL MAR,,,,,,,,,,,,,,,,
PRINCIPALES,DEL MAR,11,Tartar de salmón,8.90,,1,,,,,,,1,,,1,,1,1
PRINCIPALES,DEL MAR,12,Salmón a la plancha,7.90,,1,,,,,,,,1,,,,1,1
PRINCIPALES,DEL MAR,13,Salmon ahumado con mango,8.90,,1,,1,,,,1,,,,,,,
PRINCIPALES,DEL MAR,14,Tartar de atún,9.90,,1,,,,,,,,1,,1,,1,1
PRINCIPALES,DEL MAR,15,Tataki de atún,9.90,,1,,,,,,,,,,1,,1,1
PRINCIPALES,DEL MAR,16,Tempura de langostino,6.90,,,,1,,,,,,1,,,,1,1
PRINCIPALES,DEL MAR,17,Langostinos tigre,7.90,,,,1,,,,,,1,,,,1,
PRINCIPALES,DEL MAR,18,Langostinos al Kung-Pao,9.50,,,,1,1,,,,,,,,,1,1
PRINCIPALES,DEL MAR,19,Langostinos con salsa XO,9.50,,,1,1,1,,,,,,,1,,1,1
PRINCIPALES,DEL MAR,191,Langostinos al curry,9.50,,,,1,,,,,,,,,,1,1
PRINCIPALES,,,DE LA TIERRA,,,,,,,,,,,,,,,,
PRINCIPALES,DE LA TIERRA,20,Rabo de toro,8.90,,,,,,,,,,,,,1,1,1
PRINCIPALES,DE LA TIERRA,21,Costillar con puré de patatas,6.90,,,,,,,,,,,1,,,,
PRINCIPALES,DE LA TIERRA,22,Tuétano con miso rojo,8.95,,,,,1,,,,,,,,1,1,1
PRINCIPALES,DE LA TIERRA,23,Burger de Wagyu,7.50,,,,,,,,,,1,1,,,,
PRINCIPALES,DE LA TIERRA,24,Ternera crujiente agridulce,7.50,,,,,,,,,,1,,1,,1,1
PRINCIPALES,DE LA TIERRA,25,Ternera al curry,7.50,,,,,,,,,,,1,,,,
PRINCIPALES,DE LA TIERRA,26,Ternera con salsa de ostras,7.50,,,,1,,,,,,,,,,1,1
PRINCIPALES,DE LA TIERRA,27,Pollo caramelizado crujiente,6.90,,,,,,,,,,,,1,,1,1
PRINCIPALES,DE LA TIERRA,28,Pollo con limón,6.50,,,,,,,,,,1,,1,,1,
PRINCIPALES,DE LA TIERRA,29,Pollo Kung-Pao,6.90,,,,,1,,,,,,,,,1,1
PRINCIPALES,DE LA TIERRA,30,Pollo al curry,6.90,,,,,,,,,,,1,,,,
PRINCIPALES,DE LA TIERRA,31,Cerdo agridulce,6.50,,,,,,,,,,1,,,,1,
PRINCIPALES,DE LA TIERRA,32,Pato crujiente almendrado,9.50,,,,,,,,,1,,,,,1,1
PRINCIPALES,,,UN TOQUE ORIENTAL,,,,,,,,,,,,,,,,
